DateTime,AddedIPs,RemovedIPs
1606489324,23,35
1606489923,7,24
1606490523,33,0
1606491723,17,48
1606492323,22,22
1606492923,23,0
1606493524,23,42
1606494123,16,68
1606495324,16,4
1606495923,15,0
1606496523,39,51
1606497723,7,0
1606498324,25,15
1606498924,6,23
1606499523,35,12
1606500123,12,0
1606501323,22,24
1606501923,27,32
1606502523,20,0
1606503123,24,21
1606503723,20,31
1606504923,17,0
1606506123,15,75
1606507323,27,13
1606507923,30,0
1606508524,15,9
1606509124,12,49
1606509723,21,0
1606510923,16,93
1606512123,33,76
1606512724,22,12
1606513323,16,30
1606514523,19,27
1606515723,21,0
1606516324,8,15
1606516923,37,56
1606518123,10,0
1606519323,29,55
1606519924,35,41
1606520524,28,0
1606521123,24,48
1606522323,29,35
1606522924,18,0
1606524123,20,49
1606525323,28,0
1606526524,21,37
1606527123,18,27
1606527723,8,48
1606528923,65,61
1606530124,35,27
1606531323,40,0
1606532523,39,36
1606533723,22,0
1606534923,38,14
1606536123,23,20
1606537323,36,0
1606538523,35,24
1606539124,20,9
1606540324,33,42
1606540923,28,0
1606541523,11,17
1606542124,14,0
1606543323,15,14
1606544523,16,51
1606545723,20,21
1606546323,15,38
1606547524,21,51
1606548124,10,0
1606549323,13,14
1606550523,19,51
1606551723,18,16
1606552923,27,26
1606554124,25,25
1606554724,17,26
1606555323,29,53
1606555923,11,27
1606556523,21,0
1606557123,11,0
1606557723,20,32
1606558923,14,10
1606559523,9,0
1606560124,10,0
1606560723,11,19
1606561323,13,43
1606561923,22,0
1606563123,37,42
1606563723,29,0
1606564923,42,42
1606565523,25,48
1606566123,26,28
1606566724,14,32
1606567923,33,27
1606568523,31,0
1606569723,36,39
1606570324,32,11
1606570923,14,67
1606572123,32,9
1606573324,36,0
1606574523,26,46
1606575723,24,52
1606576923,18,14
1606577524,17,30
1606578123,13,0
1606579323,25,42
1606580524,34,64
1606581124,28,0
1606581723,40,0
1606582323,26,17
1606582923,28,0
1606584123,25,45
1606585323,36,27
1606586523,32,29
1606587724,26,31
1606588323,4,0
1606588924,8,64
1606589523,17,0
1606590123,21,48
1606591323,24,11
1606591924,13,0
1606592523,24,0
1606593724,32,16
1606594924,15,68
1606596123,32,23
1606597323,33,0
1606598524,35,35
1606599723,22,25
1606600324,33,18
1606600924,36,62
1606601523,26,0
1606602124,28,9
1606603323,29,9
1606604524,38,47
1606605123,36,0
1606605723,28,24
1606606323,34,45
1606606923,23,23
1606608123,13,24
1606609323,16,22
1606610523,20,65
1606611724,22,0
1606612324,21,13
1606612923,10,16
1606614123,35,18
1606614723,36,56
1606615323,21,58
1606615923,16,0
1606616523,13,29
1606617123,11,0
1606617723,12,37
1606618923,26,0
1606619523,15,23
1606620123,18,34
1606621323,24,33
1606622524,36,38
1606623723,62,45
1606624923,31,0
1606626123,24,35
1606626723,13,0
1606627323,22,39
1606628523,30,48
1606629724,28,0
1606630923,25,20
1606632123,23,25
1606632723,25,17
1606633323,13,20
1606634523,26,15
1606635723,24,0
1606636923,13,73
1606638124,29,0
1606638723,29,19
1606639923,39,42
1606640523,14,22
1606641124,11,17
1606641723,29,22
1606642923,30,0
1606644123,24,37
1606645323,24,13
1606646523,16,42
1606647724,19,20
1606648923,23,58
1606650123,33,32
1606651323,37,16
1606652523,30,55
1606653723,24,17
1606654324,30,16
1606654923,28,65
1606656123,33,14
1606657323,20,15
1606658523,23,24
1606659723,23,21
1606660923,24,80
1606662123,15,0
1606663323,18,31
1606663923,12,0
1606664523,16,6
1606665723,21,37
1606666923,28,23
1606667524,22,27
1606668723,21,70
1606669923,16,32
1606670523,13,15
1606671123,27,0
1606671723,21,0
1606672323,29,44
1606673523,28,26
1606674123,20,6
1606674723,21,10
1606675323,72,0
1606676523,45,43
1606677124,16,21
1606677723,25,0
1606678924,26,87
1606679523,30,0
1606680723,21,28
1606681324,14,31
1606682523,41,0
1606683723,32,47
1606684323,22,0
1606685523,26,21
1606686123,22,0
1606686723,29,26
1606687323,19,103
1606688523,26,35
1606689124,17,0
1606689723,20,0
1606690324,36,26
1606690923,27,0
1606692123,26,59
1606693323,25,79
1606694523,27,0
1606695723,24,53
1606696323,16,0
1606696923,35,0
1606698123,19,38
1606699323,11,13
1606700523,18,21
1606701723,20,68
1606702323,16,25
1606702923,17,0
1606704123,18,4
1606704723,13,41
1606705323,27,14
1606706523,26,0
1606707723,26,34
1606708923,25,24
1606709524,15,30
1606710123,35,0
1606710723,23,72
1606711323,27,8
1606712523,19,0
1606713723,39,44
1606714923,26,36
1606715523,32,15
1606716723,19,35
1606717323,26,47
1606718523,20,0
1606719123,27,23
1606719724,26,18
1606720923,18,14
1606722123,21,56
1606723323,30,0
1606724523,28,19
1606725723,32,54
1606726323,35,22
1606726923,38,7
1606728123,34,0
1606729323,36,71
1606729923,36,0
1606730523,19,0
1606731123,12,25
1606731723,7,15
1606732324,28,0
1606732923,26,0
1606734123,19,70
1606735323,35,0
1606735924,22,39
1606737123,29,32
1606737723,17,28
1606738923,30,24
1606739524,16,0
1606740123,10,0
1606740723,5,48
1606741323,8,0
1606742523,39,20
1606743124,14,17
1606743723,22,0
1606744923,24,12
1606746123,37,30
1606747324,36,37
1606748523,31,11
1606749123,23,9
1606750324,20,17
1606751523,33,22
1606752124,21,0
1606752723,27,12
1606753323,13,24
1606754523,33,14
1606755723,23,12
1606756323,28,0
1606756923,20,7
1606758123,24,34
1606759323,28,43
1606760523,27,29
1606761123,27,20
1606761723,50,99
1606762323,16,0
1606762923,29,0
1606763523,10,40
1606764123,16,24
1606765323,13,0
1606766523,20,46
1606767723,18,4
1606768923,14,72
1606770124,29,0
1606771323,29,9
1606771923,23,35
1606772523,13,28
1606773123,12,0
1606774323,16,16
1606774924,18,44
1606776123,20,28
1606777323,16,27
1606778523,16,31
1606779123,24,75
1606780324,48,0
1606780924,24,22
1606782123,22,0
1606783323,19,13
1606783923,15,28
1606784523,24,12
1606785723,35,0
1606786923,18,32
1606788123,20,0
1606789323,25,35
1606790523,12,38
1606791723,14,15
1606792923,17,45
1606794123,19,48
1606795323,28,0
1606796523,28,45
1606797723,23,22
1606798923,25,45
1606800123,25,29
1606801323,24,26
1606802523,27,27
1606803723,61,43
1606804923,27,54
1606806123,18,16
1606806723,23,27
1606807323,30,14
1606808523,21,0
1606809724,24,20
1606810923,28,57
1606812123,23,0
1606813323,32,70
1606814523,16,19
1606815723,36,26
1606816923,22,62
1606818123,32,22
1606818724,28,0
1606819323,25,35
1606819923,33,0
1606820523,35,0
1606821723,37,30
